Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
150.1566,158.181,107.3865,5469.849,-129.551,0.849,17.716,42.52919,25.52 ft,74.94519,0.6369259,-1.356772,150.1909,150.5982,I7,78.21461,3.12,-7.488,0,3.12,0,0,0,0,0,0,1.372973
99.61134,113.2885,92.66077,5209.029,3538.4,8.549,11.339,23.12254,57.16 yds,23.91877,31.41179,34.18756,99.73215,98.77734,I7,77.70682,-1.231,-13.043,0,-1.231,0,0,0,0,0,0,1.192441
140.5265,151.7666,103.2795,4387.563,-1786.137,3.174,17.493,37.72281,15.79 yds,61.12275,-13.2091,-22.15079,140.5108,140.3095,I7,74.85024,9.264,-3.934,0,9.264,0,0,0,0,0,0,1.379815
146.9548,154.9303,108.8987,6537.91,1742.952,-2.626,16.365,42.39362,13.2 yds,70.72335,10.91768,14.9274,146.9623,147.0429,I7,85.12228,-7.202,-11.23,0,-7.202,0,0,0,0,0,0,1.279321
144.624,153.218,105.9213,5861.798,978.028,-6.671,16.376,40.05951,20.66 yds,66.29958,-6.368153,9.47242,144.7063,144.6337,I7,84.63686,-7.289,-9.343,0,-7.289,0,0,0,0,0,0,1.25148
142.1967,148.8428,105.5903,6411.923,1757.213,-7.019,18.331,43.62946,2.86 ft,73.57271,-0.2556494,15.32585,142.3088,142.5678,I7,84.80687,-7.891,-9.845,0,-7.891,0,0,0,0,0,0,1.245067
122.3843,134.5226,93.5287,4459.738,604.763,-8.328,16.415,33.72124,20.34 yds,45.92653,-12.12732,7.722491,122.392,122.1468,I7,83.95459,-9.317,-9.875,0,-9.317,0,0,0,0,0,0,1.114039
51.52753,100.7328,104.8409,1114.907,-1328.641,3.405,2,4.29232,49.13 yds,2.969289,0.6937451,-49.99887,28.73427,1.021435,I7,93.8978,4.616,0,0,4.616,0,0,0,0,0,0,1.116543
146.8767,155.1295,105.2458,5051.677,-964.712,5.276,18.889,42.38829,16.68 ft,74.67212,1.642268,-10.81152,146.8995,146.8723,I7,75.58173,10.584,-2.33,0,10.584,0,0,0,0,0,0,1.392477
150.8265,159.0739,108.8182,5634.207,-474.668,-0.592,15.483,39.73033,12.09 yds,67.24721,-7.217977,-4.815656,150.9846,151.0149,I7,80.40234,1.108,-7.919,0,1.108,0,0,0,0,0,0,1.353421
146.9293,156.4391,107.098,5197.491,-349.233,-0.696,13.767,36.08157,27.85 ft,56.04417,-5.902358,-3.844074,146.9663,146.4961,I7,80.31733,2.728,-6.818,0,2.728,0,0,0,0,0,0,1.333436
130.353,141.0485,98.46563,5199.324,-983.399,-0.036,15.687,34.8606,14.07 yds,50.898,-9.346745,-10.71039,130.4772,130.0831,I7,78.81411,3.003,-5.725,0,3.003,0,0,0,0,0,0,1.24934
151.6152,159.95,110.223,5847.429,371.531,-3.524,13.843,38.0087,11.37 yds,62.37866,-5.011137,3.635543,151.6774,151.5945,I7,82.37532,0.205,-9.928,0,0.205,0,0,0,0,0,0,1.338058
151.7734,159.5951,108.3999,5572.715,50.724,2.112,17.84,43.38013,11.77 yds,77.46183,6.221066,0.5215036,151.7848,151.8143,I7,79.38229,2.852,-6.529,0,2.852,0,0,0,0,0,0,1.365542
148.129,156.95,107.778,5520.039,-83.143,-2.05,14.17,37.32368,29.28 ft,59.64151,-6.267677,-0.8629255,148.2858,147.7012,I7,80.03548,-0.457,-10.89,0,-0.457,0,0,0,0,0,0,1.346628
138.8353,153.0056,104.8141,4951.225,208.158,-2.772,11.517,30.218,17.19 ft,42.61729,-4.480456,2.407395,139.0191,138.0392,I7,78.91924,-0.132,-10.831,0,-0.132,0,0,0,0,0,0,1.328118
151.0026,159.1768,109.0083,5714.667,43.218,-2.028,15.208,39.59752,10.68 yds,66.66942,-4.834218,0.4332994,151.0513,151.1953,I7,81.42686,-1.357,-10.436,0,-1.357,0,0,0,0,0,0,1.338727
148.763,157.1014,108.8719,6360.994,1023.776,-0.248,16.291,41.77024,13.38 yds,71.55863,10.33918,9.143113,148.9029,149.0278,I7,81.21881,-2.037,-10.792,0,-2.037,0,0,0,0,0,0,1.340476
145.5549,156.1128,106.5745,5440.833,-210.195,-3.08,13.921,36.43816,12.61 yds,56.53277,-10.1896,-2.2124,145.6045,145.3521,I7,79.1832,0.448,-7.04,0,0.448,0,0,0,0,0,0,1.345924
147.6397,156.0431,108.288,5791.665,732.681,-2.211,13.963,37.54856,20.93 ft,59.49116,2.415337,7.209967,147.6742,147.839,I7,80.6126,-1.723,-10.994,0,-1.723,0,0,0,0,0,0,1.343314
145.774,154.6246,106.3083,6037.862,-373.339,-4.412,16.524,40.93371,16.84 yds,68.59444,-15.23388,-3.538264,145.9154,146.0564,I8,0,0,0,0,0,0,0,0,0,0,0,0
141.6264,148.9275,104.8655,6367.029,491.786,-1.14,15.761,40.30808,7.33 ft,63.35186,1.995083,4.416727,141.6872,141.5508,I8,0,0,0,0,0,0,0,0,0,0,0,0
145.7898,152.7308,106.9526,6480.196,612.856,-2.103,16.792,42.25127,9.85 ft,71.31783,0.9595778,5.402604,145.9062,146.2686,I8,105.9124,9.691,0,0,9.691,0,0,0,0,0,0,1.009821
143.5923,150.2648,105.333,6415.906,821.263,-2.753,19.272,44.36462,5.89 ft,78.96184,1.494832,7.294435,143.6366,143.8681,I8,82.58782,-2.369,-10.543,0,-2.369,0,0,0,0,0,0,1.275406
139.2955,146.8575,103.284,6615.396,869.464,-2.143,18.491,42.76324,13.55 ft,72.2663,2.953112,7.48749,139.2898,139.4838,I8,76.82771,3.061,0,0,3.061,0,0,0,0,0,0,1.344359
116.1966,126.4077,90.7616,5142.345,-1298.732,0.002,17.823,34.58223,26.46 yds,47.37611,-9.907043,-14.17401,116.1967,115.6562,I8,74.45879,5.926,0,0,5.926,0,0,0,0,0,0,1.218951
142.1357,152.2702,104.9214,5402.579,-1194.611,-0.359,15.223,37.73014,15.58 yds,58.3863,-13.70268,-12.46854,142.131,142.325,I8,82.75783,7.554,0,0,7.554,0,0,0,0,0,0,1.267813
139.3038,149.1342,103.5703,5603.691,-1194.796,-0.883,15.426,37.11899,16.02 yds,57.65992,-14.22703,-12.03614,139.3439,139.5177,I8,77.07824,10.32,0,0,10.32,0,0,0,0,0,0,1.343704
131.7391,155.4359,105.5098,4876.239,1167.097,-2.683,8.998,24.06782,28.2 ft,31.44238,4.855339,13.46017,131.7028,130.2876,I8,82.88981,6.859,0,0,6.859,0,0,0,0,0,0,1.272892
130.047,140.2769,96.81476,5131.582,-113.272,-3.008,17.493,37.77545,12.96 yds,56.17796,-7.930804,-1.264513,130.2091,129.5462,I8,66.65634,-0.605,0,0,-0.605,0,0,0,0,0,0,1.452446
139.2677,147.9421,102.3646,5884.735,-588.382,0.474,17.819,41.21974,17.13 ft,67.19363,-4.800197,-5.709712,139.4314,139.3777,I8,0,0,0,0,0,0,0,0,0,0,0,0
133.7508,141.0903,99.82792,6764.07,96.148,-1.257,21.029,45.24583,26.68 ft,77.0966,-2.090905,0.8143771,133.7513,134.2432,I8,0,0,0,0,0,0,0,0,0,0,0,0
48.60689,120.1017,94.87758,1316.551,255.739,-5.96,2,4.670165,31.55 yds,2.845263,-2.640906,10.99276,27.53723,0.9230096,I8,0,0,0,0,0,0,0,0,0,0,0,0
128.0552,135.0981,96.95793,7079.201,-167.097,-3.336,20.4,43.97383,17.57 yds,69.85612,-8.761254,-1.352155,128.2039,128.1726,I8,0,0,0,0,0,0,0,0,0,0,0,0
134.7802,141.876,101.0493,7144.135,585.051,-1.588,19.394,43.75757,23.91 ft,73.0005,1.220648,4.681647,134.8319,134.8327,I8,79.05569,-1.85,-12.243,0,-1.85,0,0,0,0,0,0,1.278204
129.8497,136.7874,98.08758,7129.368,622.471,-1.546,20.981,44.94445,13.04 yds,73.92812,1.462069,4.989888,129.858,130.1717,I9,0,0,0,0,0,0,0,0,0,0,0,0
135.7383,141.9677,100.9397,6733.452,74.968,-2.071,21.069,45.90939,12.65 yds,79.26808,-4.230505,0.6378857,135.878,136.1221,I9,78.56357,-1.263,-10.366,0,-1.263,0,0,0,0,0,0,1.284815
130.563,136.867,98.14127,6737.423,454.006,-2.908,19.858,43.37669,22.13 ft,69.38149,-2.856293,3.855089,130.6248,130.6321,I9,76.22373,-2.145,-11.466,0,-2.145,0,0,0,0,0,0,1.287542
131.2982,137.7608,98.24193,6527.188,23.916,-3.183,19.948,43.219,10.57 yds,69.80427,-7.085976,0.2099342,131.3116,131.5497,I9,0,0,0,0,0,0,0,0,0,0,0,0
127.5349,133.1856,96.75213,7244.511,212.657,-1.438,21.474,45.40477,10.56 ft,73.69459,-1.570488,1.68139,127.661,127.5689,I9,75.33343,4.03,0,0,4.03,0,0,0,0,0,0,1.284319
126.2951,131.5488,96.49935,7533.104,170.806,-0.657,23.958,48.1994,4.59 ft,82.72431,-0.1701991,1.298905,126.326,126.6207,PW,0,0,0,0,0,0,0,0,0,0,0,0
119.1465,124.3791,93.54883,8661.126,730.764,0.851,25.433,49.02551,26.66 ft,82.95236,6.278818,4.822786,119.2727,119.521,PW,79.25925,-1.826,-7.744,0,-1.826,0,0,0,0,0,0,1.180289
97.27292,106.6224,78.38685,4505.077,-567.505,-1.174,24.131,39.18344,24.45 yds,48.88177,-5.542168,-7.179737,97.28867,97.32392,PW,72.85713,-0.813,-9.062,0,-0.813,0,0,0,0,0,0,1.075898
121.2279,128.7221,95.1639,7208.546,1726.529,-0.771,16.565,37.43035,11.11 yds,51.56703,9.753342,13.46926,121.2349,121.051,PW,77.633,-1.69,-8.491,0,-1.69,0,0,0,0,0,0,1.225818
115.0707,120.7921,90.50212,8365.173,1020.323,-0.563,22.173,43.81149,10.68 yds,65.82617,4.692711,6.954172,115.1023,115.1509,PW,78.52554,-2.441,-9.918,0,-2.441,0,0,0,0,0,0,1.152518
120.8224,125.4387,94.10359,8512.245,979.613,-1.136,23.201,47.22081,18.59 ft,75.9623,3.743948,6.564878,120.8123,120.9011,PW,79.05569,-2.229,-7.868,0,-2.229,0,0,0,0,0,0,1.190346
114.9738,120.6299,90.24039,7917.013,735.143,-1.755,25.504,47.72748,28.45 ft,76.26823,0.946153,5.30505,115.0574,115.2406,PW,77.01337,-1.714,-6.138,0,-1.714,0,0,0,0,0,0,1.17175
121.0543,125.8117,94.12149,8298.648,917.229,-0.955,23.825,47.34716,18.07 ft,78.0538,3.88305,6.30716,121.1042,121.051,PW,79.75362,-1.839,-8.001,0,-1.839,0,0,0,0,0,0,1.180153
102.3974,106.1904,83.63471,9447.607,795.664,-0.338,26.421,47.50152,14.79 ft,67.98425,2.851378,4.814008,102.4181,101.9696,GW,75.57055,4.165,0,0,4.165,0,0,0,0,0,0,1.10671
